TYPE_PANIER,DATE_PANIER,LEAD_ID,VEHICULE_ID,AGENCE_LIVRAISON_COM,PRIX_VENTE_TTC_COM,TYPE_LIVRAISON_COM
Commande,2024-01-01 00:00:00.000000,8734448756055,34504039948,Toulon,28419,A Domicile
Commande,2024-01-01 00:48:19.844409,8653058133152,60933393618,Bordeaux,39919,A Domicile
Commande,2024-01-01 01:36:39.688819,4184211675266,11925153110,Toulouse,21996,En Agence
Commande,2024-01-01 02:24:59.533229,9279615439149,38884361013,Montpellier,22136,A Domicile
Commande,2024-01-01 03:13:19.377639,4069849609139,71707587174,Nantes,38706,A Domicile
Commande,2024-01-01 04:01:39.222049,1364066632733,99307719552,Montpellier,29050,En Agence
Commande,2024-01-01 04:49:59.066459,7277434758208,83010694073,Marseille,26561,En Agence
Commande,2024-01-01 05:38:18.910869,7861872005887,86585394066,Marseille,22057,En Agence
Commande,2024-01-01 06:26:38.755278,5010528081151,36583620208,Bordeaux,18234,En Agence
Commande,2024-01-01 07:14:58.599688,1877324976709,92310908659,Toulouse,28086,A Domicile
Commande,2024-01-01 08:03:18.444098,9430326733787,27692014731,Strasbourg,24356,En Agence
Commande,2024-01-01 08:51:38.288508,2422281372821,42037864382,Lille,25493,A Domicile
Commande,2024-01-01 09:39:58.132918,3409594638221,15417517257,Nantes,29585,A Domicile
Commande,2024-01-01 10:28:17.977328,3279831197854,56061896639,Rennes,19450,A Domicile
Commande,2024-01-01 11:16:37.821738,4869777740666,70642474072,Lyon,16293,En Agence
Commande,2024-01-01 12:04:57.666148,8261194306292,83040204781,Toulouse,29884,En Agence
Commande,2024-01-01 12:53:17.510557,5890925800537,10025152582,Lille,36354,En Agence
Commande,2024-01-01 13:41:37.354967,4477761357956,28857118212,Toulouse,29120,En Agence
Commande,2024-01-01 14:29:57.199377,8268569564929,88668641145,Nice,22913,En Agence
Commande,2024-01-01 15:18:17.043787,9284701351487,30170104447,Montpellier,15267,En Agence
Commande,2024-01-01 16:06:36.888197,2911474613455,30796518770,Rennes,19378,En Agence
Commande,2024-01-01 16:54:56.732607,5764439561691,89209643289,Strasbourg,14649,En Agence
Commande,2024-01-01 17:43:16.577017,1753318953682,93153811738,Toulon,20306,En Agence
Commande,2024-01-01 18:31:36.421426,9495194197274,12901417631,Strasbourg,24928,A Domicile
Commande,2024-01-01 19:19:56.265836,3134028369883,62386417525,Marseille,34202,A Domicile
