VEHICULE_ID,VEHICULE_TYPE,VEHICULE_MODELE,VEHICULE_MARQUE,VEHICULE_ENERGIE,VEHICULE_CATEGORIE,VEHICULE_BOITE_VITESSE,VEHICULE_COULEUR,VEHICULE_KM,VEHICULE_MEC,OFFER_EQUIPMENTS_STANDARD_LABELS_LIST,OFFER_EQUIPMENTS_MAIN_LIST,OFFER_OFFER_TAGS_LIST
60436267009,VO,Micra,Nissan,Diesel,4x4 et SUV,Manuelle,Blanc,83120,2017-11-19 17:55:35.333833,,"[{""category"": ""R\u00e9gulateur de vitesse"", ""is_option"": false, ""label"": ""R\u00e9gulateur de vitesse"", ""picto_id"": 0}, {""category"": ""Bluetooth"", ""is_option"": false, ""label"": ""Bluetooth"", ""picto_id"": 1}, {""category"": ""Cam\u00e9ra de recul"", ""is_option"": false, ""label"": ""Cam\u00e9ra de recul"", ""picto_id"": 2}, {""category"": ""Climatisation"", ""is_option"": false, ""label"": ""Climatisation"", ""picto_id"": 3}, {""category"": ""Radar de recul"", ""is_option"": false, ""label"": ""Radar de recul"", ""picto_id"": 4}, {""category"": ""Android Auto"", ""is_option"": false, ""label"": ""Android Auto"", ""picto_id"": 5}, {""category"": ""4x4"", ""is_option"": false, ""label"": ""4x4"", ""picto_id"": 6}]",
56648351748,VO,Mokka,Opel,Essence,4x4 et SUV,Manuelle,Blanc,70968,2021-02-07 23:09:56.849212,,"[{""category"": ""R\u00e9gulateur de vitesse"", ""is_option"": false, ""label"": ""R\u00e9gulateur de vitesse"", ""picto_id"": 0}, {""category"": ""Bluetooth"", ""is_option"": false, ""label"": ""Bluetooth"", ""picto_id"": 1}, {""category"": ""GPS"", ""is_option"": false, ""label"": ""GPS"", ""picto_id"": 2}, {""category"": ""Jantes alliage"", ""is_option"": false, ""label"": ""Jantes alliage"", ""picto_id"": 3}, {""category"": ""Climatisation"", ""is_option"": false, ""label"": ""Climatisation"", ""picto_id"": 4}, {""category"": ""Radar de recul"", ""is_option"": false, ""label"": ""Radar de recul"", ""picto_id"": 5}, {""category"": ""4x4"", ""is_option"": false, ""label"": ""4x4"", ""picto_id"": 6}]",
10907967496,VO,X1,BMW,Essence,Berline Compacte,Automatique,Argent,31985,2018-09-09 04:26:27.996999,,"[{""category"": ""Toit ouvrant/panoramique"", ""is_option"": false, ""label"": ""Toit ouvrant/panoramique"", ""picto_id"": 0}, {""category"": ""R\u00e9gulateur de vitesse"", ""is_option"": false, ""label"": ""R\u00e9gulateur de vitesse"", ""picto_id"": 1}, {""category"": ""Climatisation"", ""is_option"": false, ""label"": ""Climatisation"", ""picto_id"": 2}, {""category"": ""Bluetooth"", ""is_option"": false, ""label"": ""Bluetooth"", ""picto_id"": 3}]",
65443438602,VO,XC40,Volvo,Essence,Break,Automatique,Gris,92237,2022-03-08 16:21:57.929482,,"[{""category"": ""Int\u00e9rieur cuir"", ""is_option"": false, ""label"": ""Int\u00e9rieur cuir"", ""picto_id"": 0}, {""category"": ""R\u00e9gulateur de vitesse"", ""is_option"": false, ""label"": ""R\u00e9gulateur de vitesse"", ""picto_id"": 1}, {""category"": ""Bluetooth"", ""is_option"": false, ""label"": ""Bluetooth"", ""picto_id"": 2}, {""category"": ""Cam\u00e9ra de recul"", ""is_option"": false, ""label"": ""Cam\u00e9ra de recul"", ""picto_id"": 3}, {""category"": ""GPS"", ""is_option"": false, ""label"": ""GPS"", ""picto_id"": 4}, {""category"": ""Jantes alliage"", ""is_option"": false, ""label"": ""Jantes alliage"", ""picto_id"": 5}, {""category"": ""Climatisation"", ""is_option"": false, ""label"": ""Climatisation"", ""picto_id"": 6}]",
41539305485,VN,Duster,Dacia,Essence,Citadine,Automatique,Blanc,951,2016-10-29 10:16:06.841710,,"[{""category"": ""Toit ouvrant/panoramique"", ""is_option"": false, ""label"": ""Toit ouvrant/panoramique"", ""picto_id"": 0}, {""category"": ""R\u00e9gulateur de vitesse"", ""is_option"": false, ""label"": ""R\u00e9gulateur de vitesse"", ""picto_id"": 1}, {""category"": ""Bluetooth"", ""is_option"": false, ""label"": ""Bluetooth"", ""picto_id"": 2}, {""category"": ""GPS"", ""is_option"": false, ""label"": ""GPS"", ""picto_id"": 3}, {""category"": ""Climatisation"", ""is_option"": false, ""label"": ""Climatisation"", ""picto_id"": 4}, {""category"": ""Radar de recul"", ""is_option"": false, ""label"": ""Radar de recul"", ""picto_id"": 5}, {""category"": ""Android Auto"", ""is_option"": false, ""label"": ""Android Auto"", ""picto_id"": 6}]",
57426984973,VN,Stonic,Kia,Diesel,Berline Compacte,Manuelle,Noir,507,2021-01-22 12:37:37.764441,,"[{""category"": ""R\u00e9gulateur de vitesse"", ""is_option"": false, ""label"": ""R\u00e9gulateur de vitesse"", ""picto_id"": 0}, {""category"": ""Bluetooth"", ""is_option"": false, ""label"": ""Bluetooth"", ""picto_id"": 1}, {""category"": ""Cam\u00e9ra de recul"", ""is_option"": false, ""label"": ""Cam\u00e9ra de recul"", ""picto_id"": 2}, {""category"": ""GPS"", ""is_option"": false, ""label"": ""GPS"", ""picto_id"": 3}, {""category"": ""Jantes alliage"", ""is_option"": false, ""label"": ""Jantes alliage"", ""picto_id"": 4}, {""category"": ""Climatisation"", ""is_option"": false, ""label"": ""Climatisation"", ""picto_id"": 5}, {""category"": ""Radar de recul"", ""is_option"": false, ""label"": ""Radar de recul"", ""picto_id"": 6}, {""category"": ""Apple Car Play"", ""is_option"": false, ""label"": ""Apple Car Play"", ""picto_id"": 7}]",
41502244877,VO,A1,Audi,Essence,Berline Compacte,Manuelle,Argent,58794,2015-03-22 13:14:21.515378,,"[{""category"": ""Int\u00e9rieur cuir"", ""is_option"": false, ""label"": ""Int\u00e9rieur cuir"", ""picto_id"": 0}, {""category"": ""R\u00e9gulateur de vitesse"", ""is_option"": false, ""label"": ""R\u00e9gulateur de vitesse"", ""picto_id"": 1}, {""category"": ""Bluetooth"", ""is_option"": false, ""label"": ""Bluetooth"", ""picto_id"": 2}, {""category"": ""Climatisation"", ""is_option"": false, ""label"": ""Climatisation"", ""picto_id"": 3}, {""category"": ""Apple Car Play"", ""is_option"": false, ""label"": ""Apple Car Play"", ""picto_id"": 4}]",
24873476111,VO,Serie 3,BMW,Essence,Break,Automatique,Blanc,46088,2015-06-26 17:17:25.161290,,"[{""category"": ""Int\u00e9rieur cuir"", ""is_option"": false, ""label"": ""Int\u00e9rieur cuir"", ""picto_id"": 0}, {""category"": ""R\u00e9gulateur de vitesse"", ""is_option"": false, ""label"": ""R\u00e9gulateur de vitesse"", ""picto_id"": 1}, {""category"": ""Bluetooth"", ""is_option"": false, ""label"": ""Bluetooth"", ""picto_id"": 2}, {""category"": ""Cam\u00e9ra de recul"", ""is_option"": false, ""label"": ""Cam\u00e9ra de recul"", ""picto_id"": 3}, {""category"": ""Climatisation"", ""is_option"": false, ""label"": ""Climatisation"", ""picto_id"": 4}, {""category"": ""Android Auto"", ""is_option"": false, ""label"": ""Android Auto"", ""picto_id"": 5}]",
62663901203,VO,Kona,Hyundai,Hybride,Berline Compacte,Automatique,Blanc,329,2019-01-01 10:29:04.636159,,"[{""category"": ""Toit ouvrant/panoramique"", ""is_option"": false, ""label"": ""Toit ouvrant/panoramique"", ""picto_id"": 0}, {""category"": ""R\u00e9gulateur de vitesse"", ""is_option"": false, ""label"": ""R\u00e9gulateur de vitesse"", ""picto_id"": 1}, {""category"": ""Bluetooth"", ""is_option"": false, ""label"": ""Bluetooth"", ""picto_id"": 2}, {""category"": ""Cam\u00e9ra de recul"", ""is_option"": false, ""label"": ""Cam\u00e9ra de recul"", ""picto_id"": 3}, {""category"": ""GPS"", ""is_option"": false, ""label"": ""GPS"", ""picto_id"": 4}, {""category"": ""Jantes alliage"", ""is_option"": false, ""label"": ""Jantes alliage"", ""picto_id"": 5}, {""category"": ""Climatisation"", ""is_option"": false, ""label"": ""Climatisation"", ""picto_id"": 6}]",
44983148564,VO,X1,BMW,Hybride,Break,Automatique,Gris,50700,2023-08-01 22:31:03.465866,,"[{""category"": ""R\u00e9gulateur de vitesse"", ""is_option"": false, ""label"": ""R\u00e9gulateur de vitesse"", ""picto_id"": 0}, {""category"": ""Bluetooth"", ""is_option"": false, ""label"": ""Bluetooth"", ""picto_id"": 1}, {""category"": ""Cam\u00e9ra de recul"", ""is_option"": false, ""label"": ""Cam\u00e9ra de recul"", ""picto_id"": 2}, {""category"": ""Jantes alliage"", ""is_option"": false, ""label"": ""Jantes alliage"", ""picto_id"": 3}, {""category"": ""Climatisation"", ""is_option"": false, ""label"": ""Climatisation"", ""picto_id"": 4}, {""category"": ""Apple Car Play"", ""is_option"": false, ""label"": ""Apple Car Play"", ""picto_id"": 5}]",
